연번,구직등록일,연령,희망지역,희망직종,희망임금,장애유형,중증여부,기관분류
11538,2022-04-25,36,충북 청주시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
11539,2022-04-25,37,충남 천안시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11540,2022-04-25,42,서울 종로구,안마사,(시급)9160,시각장애,중증,공단
11541,2022-04-25,41,경기 용인시 기흥구,콜센터 상담원(콜센터·고객센터·CS센터),(시급)9160,지체장애,중증,공단
11542,2022-04-25,49,경남 창원시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(일급)9160,정신장애,중증,공단
11543,2022-04-25,37,경기 성남시 분당구,마케팅·광고·홍보·상품기획 사무원,(시급)9160,뇌병변장애,중증,공단
11544,2022-04-25,68,서울 강동구,환경 미화원,(시급)9160,뇌병변장애,중증,공단
11545,2022-04-25,34,서울 동대문구,환경 미화원,(월급)1000000,자폐성장애,중증,공단
11546,2022-04-25,50,전북 전주시,주입·포장·상표부착기 등 기타 기계 조작원,(월급)1000000,지적장애,중증,공단
11547,2022-04-25,40,경기 수원시,검표원,(시급)9160,지적장애,중증,공단
11548,2022-04-25,36,대전 동구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1000000,지적장애,중증,공단
11549,2022-04-25,34,경북 구미시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)8720,지적장애,중증,공단
11550,2022-04-25,45,대구 동구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,중증,공단
11551,2022-04-25,41,충남 천안시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11552,2022-04-25,49,광주 광산구,총무 및 일반 사무원,(시급)9160,청각장애,경증,공단
11553,2022-04-25,38,서울 영등포구,마케팅·광고·홍보·상품기획 사무원,(시급)9160,청각장애,중증,공단
11554,2022-04-25,40,제주 제주시,사무 보조원(공공기관),(월급)1000000,정신장애,중증,공단
11555,2022-04-25,34,충북 청주시,세탁원(다림질원),(시급)9160,뇌전증장애,경증,공단
11556,2022-04-25,43,충북 청주시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,청각장애,중증,공단
11557,2022-04-25,32,부산 금정구,금속기계부품 조립원,(시급)9160,지적장애,중증,공단
11558,2022-04-25,68,충북 청주시,환경 미화원,(시급)9160,뇌병변장애,중증,공단
11559,2022-04-25,65,울산 남구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,중증,공단
11560,2022-04-25,34,전남 영암군,전기·전자 분야 단순 종사원,(시급)9160,청각장애,중증,공단
11561,2022-04-25,30,충남 서산시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11562,2022-04-25,31,대전 유성구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
11563,2022-04-25,57,제주 제주시,직업 운동선수,(시급)9160,지체장애,중증,공단
11564,2022-04-25,35,전북 익산시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)2000000,지적장애,중증,공단
11565,2022-04-25,31,경기 고양시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1800000,지적장애,중증,공단
11566,2022-04-25,31,경기 양주시,전산자료 입력원(DB·단순자료),(시급)9160,지적장애,중증,공단
11567,2022-04-25,36,대전 유성구,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
11568,2022-04-25,32,경북 포항시,안마사,(시급)9160,시각장애,중증,공단
11569,2022-04-25,45,전북 남원시,"기타 식품가공기계 조작원(유지, 장류, 조미식품, 설탕, 커피, 담배 등)",(시급)9160,정신장애,중증,공단
11570,2022-04-25,41,경기 성남시,"기타 건물 관리원(공원, 종교시설 등)",(시급)9160,지체장애,경증,공단
11571,2022-04-25,28,충북 충주시,전자 부품·제품 생산기계 조작원,(시급)9160,지적장애,중증,공단
11572,2022-04-25,30,서울 송파구,주방 보조원(일반 음식점),(시급)9160,지적장애,중증,공단
11573,2022-04-25,64,서울 강남구,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,간장애,경증,공단
11574,2022-04-25,28,충북 청주시,사무 보조원(일반사업체),(월급)2000000,청각장애,중증,공단
11575,2022-04-25,28,경북 영양군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11576,2022-04-25,28,경기 군포시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,자폐성장애,중증,공단
11577,2022-04-25,28,전북 전주시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
11578,2022-04-25,27,인천 미추홀구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11579,2022-04-25,36,경북 구미시,음료 조리사(바리스타 포함),(시급)8730,정신장애,중증,공단
11580,2022-04-25,47,경기 부천시,사무 보조원(일반사업체),(시급)8720,정신장애,중증,공단
11581,2022-04-25,49,전북 고창군,관광 및 통근·통학·학원 및 기타 버스 운전원,(시급)9160,지체장애,경증,공단
11582,2022-04-25,27,경기 수원시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1910000,지적장애,중증,공단
11583,2022-04-25,26,전북 군산시,생산·품질 사무원 및 관리원(음식료품),(시급)9160,지적장애,중증,공단
11584,2022-04-25,30,경기 남양주시,식품 분야 단순 종사원,(시급)9160,지적장애,중증,공단
11585,2022-04-25,26,경기 평택시,학교행정 사무원(교무),(월급)1900000,지적장애,중증,공단
11586,2022-04-25,54,부산 동래구,조경 기술자,(시급)9160,신장장애,경증,공단
11587,2022-04-25,46,서울 영등포구,안마사,(시급)9160,시각장애,중증,공단
11588,2022-04-25,25,경남 진주시,섬유·의복 분야 단순 종사원,(월급)1500000,지적장애,중증,공단
11589,2022-04-25,26,서울 강서구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11590,2022-04-25,28,경남 마산시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,청각장애,중증,공단
11591,2022-04-25,47,인천 중구,콜센터 상담원(콜센터·고객센터·CS센터),(시급)9160,지체장애,중증,공단
11592,2022-04-25,28,충남 천안시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,자폐성장애,중증,공단
11593,2022-04-25,25,경기 양주시,전산자료 입력원(DB·단순자료),(시급)9160,지적장애,중증,공단
11594,2022-04-25,24,부산 사상구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11595,2022-04-25,47,대구 북구,"노선버스 운전원(시내, 마을, 시외, 고속)",(시급)9160,지체장애,중증,공단
11596,2022-04-25,26,경기 구리시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1800000,지적장애,중증,공단
11597,2022-04-25,68,울산 남구,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",(시급)9160,뇌병변장애,경증,공단
11598,2022-04-25,55,서울 강서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,정신장애,중증,공단
11599,2022-04-25,57,경기 양주시,재가 요양보호사,(시급)9160,뇌병변장애,경증,공단
11600,2022-04-25,24,대구 남구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11601,2022-04-25,39,울산 남구,시설·호송·특수 경비원(해당 경비지도사 포함),(시급)9160,정신장애,중증,공단
11602,2022-04-25,24,경기 화성시(수원),기타 전자 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
11603,2022-04-25,32,서울특별시,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
11604,2022-04-25,23,경기 김포시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11605,2022-04-25,24,전북 익산시,기타 식품가공 종사원,(월급)2000000,지적장애,중증,공단
11606,2022-04-25,23,대전 동구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
11607,2022-04-25,60,제주 제주시,기타 식품가공 종사원,(시급)9160,뇌병변장애,경증,공단
11608,2022-04-25,40,대전 서구,교사보조 및 보육보조 서비스 종사원,(시급)8720,신장장애,중증,공단
11609,2022-04-25,32,충북 진천군,사무 보조원(공공기관),(시급)9160,뇌전증장애,경증,공단
11610,2022-04-25,23,부산 금정구,사무 보조원(공공기관),(시급)9160,자폐성장애,중증,공단
11611,2022-04-25,63,경기 성남시,건설현장반장,(월급)2000000,지체장애,경증,공단
11612,2022-04-25,27,대전 중구,경리 사무원,(월급)1830000,지적장애,중증,공단
11613,2022-04-25,54,경기 수원시,직업상담사,(시급)9160,신장장애,경증,공단
11614,2022-04-25,55,경남 김해시,기타 전자 부품·제품 조립·검사원,(시급)9160,지체장애,경증,공단
11615,2022-04-25,21,대전 대덕구,사무 보조원(공공기관),(시급)8720,지적장애,중증,공단
11616,2022-04-25,22,대전 유성구,사무 보조원(공공기관),(시급)8720,지적장애,중증,공단
11617,2022-04-25,55,서울 중랑구,재가 요양보호사,(시급)8720,지적장애,중증,공단
11618,2022-04-25,45,부산 해운대구,사무 보조원(공공기관),(시급)8720,뇌병변장애,중증,공단
11619,2022-04-25,34,대전광역시,통신장비 설치·수리원,(월급)1920000,지적장애,중증,공단
11620,2022-04-25,26,경북 포항시,사무 보조원(공공기관),(시급)9160,청각장애,경증,공단
11621,2022-04-25,23,전북 전주시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
11622,2022-04-25,31,충남 천안시,안마사,(시급)9160,시각장애,중증,공단
11623,2022-04-25,60,경기 의정부시,경리 사무원(일반사업체),(시급)9160,뇌병변장애,중증,공단
11624,2022-04-25,60,대전 중구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
11625,2022-04-25,60,대전 동구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
11626,2022-04-25,37,인천광역시,시각 디자이너,(연봉)24000000,뇌병변장애,경증,공단
11627,2022-04-25,20,서울 성동구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
11628,2022-04-25,31,전남 순천시,사무 보조원(공공기관),(시급)9160,시각장애,중증,공단
11629,2022-04-25,61,경기 광주시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지체장애,경증,공단
11630,2022-04-25,32,부산광역시,제조 단순 종사원,(시급)9160,지적장애,중증,공단
11631,2022-04-25,29,경남 창원시 성산구,음료 조리사(바리스타 포함),(시급)9160,청각장애,중증,공단
11632,2022-04-25,25,경기 안산시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11633,2022-04-25,48,광주 북구,음료 조리사(바리스타 포함),(시급)9160,청각장애,경증,공단
11634,2022-04-25,49,충북 청주시,재봉사(의류·직물) ,(월급)2000000,지체장애,경증,공단
11635,2022-04-25,54,대전광역시,청소원,(시급)8720,지체장애,경증,공단
11636,2022-04-25,23,광주 광산구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11637,2022-04-25,63,전북 익산시,아파트·빌라 경비원,(월급)2000000,지체장애,경증,공단
11638,2022-04-25,23,울산 남구,산업 안전원 및 위험물 관리원,(시급)9160,자폐성장애,중증,공단
11639,2022-04-25,30,경남 창원시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11640,2022-04-25,21,대전 유성구,음료 조리사(바리스타 포함),(시급)8720,지적장애,중증,공단
11641,2022-04-25,27,경기 부천시,콜센터 상담원(콜센터·고객센터·CS센터),(시급)9160,지체장애,경증,공단
11642,2022-04-25,28,서울 중구,사무 보조원(공공기관),(시급)9160,언어장애,경증,공단
11643,2022-04-25,57,충북 청주시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
11644,2022-04-25,21,서울 강남구,안마사,(시급)9160,시각장애,중증,공단
11645,2022-04-25,21,서울 영등포구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11646,2022-04-25,21,전북 전주시,종이제품 생산기계 조작원,(시급)9160,지적장애,중증,공단
11647,2022-04-25,21,충남 천안시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11648,2022-04-25,20,,,,지적장애,중증,공단
11649,2022-04-25,27,경남 진주시,섬유·의복 분야 단순 종사원,(월급)1000000,지적장애,중증,공단
11650,2022-04-25,23,경기 고양시,직업 운동선수,(시급)9160,청각장애,중증,공단
11651,2022-04-25,72,대구 동구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
11652,2022-04-25,63,전북 장수군,청소원,(시급)9160,뇌병변장애,경증,공단
11653,2022-04-25,20,서울 성북구,제과·제빵원,(월급)1920000,자폐성장애,중증,공단
11654,2022-04-25,38,경기 평택시,전기·전자 분야 단순 종사원,(시급)9160,뇌전증장애,경증,공단
11655,2022-04-25,66,부산 중구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
11656,2022-04-25,52,경기 성남시,사무 보조원(일반사업체),(월급)2000000,뇌병변장애,경증,공단
11657,2022-04-25,32,경기 양주시,인쇄판·인쇄필름 출력원,(시급)9160,지적장애,중증,공단
11658,2022-04-25,21,인천 남동구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
11659,2022-04-25,19,인천 연수구,음료 조리사(바리스타 포함),(월급)1000000,지적장애,중증,공단
11660,2022-04-25,22,인천 연수구,제과·제빵원,(시급)9160,지적장애,중증,공단
11661,2022-04-25,21,경기 부천시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11662,2022-04-25,66,전북 군산시,사무 보조원(일반사업체),(시급)9160,시각장애,경증,공단
11663,2022-04-25,20,,,,지적장애,중증,공단
11664,2022-04-25,21,광주 광산구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11665,2022-04-25,21,울산 북구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
11666,2022-04-25,21,부산 부산진구,사무 보조원(공공기관),(시급)9160,정신장애,중증,공단
11667,2022-04-25,22,대전 서구,사무 보조원(일반사업체),(시급)9160,뇌병변장애,경증,공단
11668,2022-04-25,25,광주 남구,총무 및 일반 사무원,(시급)9160,정신장애,중증,공단
11669,2022-04-25,65,강원 춘천시,모니터 요원,(시급)9160,정신장애,중증,공단
11670,2022-04-25,73,서울 양천구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,시각장애,경증,공단
11671,2022-04-25,59,경남 창원시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,중증,공단
11672,2022-04-25,23,경기 수원시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
11673,2022-04-25,36,광주 서구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,정신장애,중증,공단
11674,2022-04-25,25,경남 창원시,홍보 도우미 및 판촉원(나레이터 모델 포함),(시급)9160,시각장애,중증,공단
11675,2022-04-25,64,울산 남구,교사 보조원,(월급)2000000,지체장애,경증,공단
11676,2022-04-25,30,부산 수영구,사무 보조원(일반사업체),(시급)9160,뇌병변장애,경증,공단
11677,2022-04-25,19,경남 진주시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11678,2022-04-25,60,서울 강동구,사무 보조원(일반사업체),(시급)8720,지체장애,경증,공단
11679,2022-04-25,19,강원 강릉시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지적장애,중증,공단
11680,2022-04-25,32,경북 경산시,제조 단순 종사원,(월급)1950000,정신장애,중증,공단
11681,2022-04-25,60,경기 의정부시,사무 보조원(일반사업체),(시급)9160,청각장애,중증,공단
11682,2022-04-25,58,인천 남동구,지게차 운전원,(시급)9160,지체장애,중증,공단
11683,2022-04-25,29,충남 천안시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11684,2022-04-25,53,서울 노원구,안마사,(월급)2500000,시각장애,중증,공단
11685,2022-04-25,32,경북 구미시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,정신장애,중증,공단
11686,2022-04-25,48,대전 유성구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,뇌병변장애,중증,공단
11687,2022-04-25,53,전북 전주시,일반 영업원,(시급)9160,신장장애,경증,공단
11688,2022-04-25,62,울산 남구,시설 요양보호사(노인요양사),(연봉)36000000,지체장애,경증,공단
11689,2022-04-25,58,대구 남구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,청각장애,경증,공단
11690,2022-04-25,46,인천 부평구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11691,2022-04-25,63,충북 청주시,직업 운동선수,(시급)9160,지체장애,경증,공단
11692,2022-04-25,53,제주 제주시,직업 운동선수,(시급)9160,신장장애,중증,공단
11693,2022-04-25,61,제주 서귀포시,가족·학교·아동·청소년·노인·중독 등 상담 전문가,(시급)9160,지체장애,경증,공단
11694,2022-04-25,19,인천 부평구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
11695,2022-04-25,52,경남 진주시,미술 강사,(시급)9160,지체장애,경증,공단
11696,2022-04-25,50,부산 사하구,세탁원(다림질원),(시급)9160,지체장애,경증,공단
11697,2022-04-25,27,전남 순천시,사무 보조원(공공기관),(월급)2000000,시각장애,경증,공단
11698,2022-04-25,23,부산 사상구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,중증,공단
11699,2022-04-25,54,울산 남구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,청각장애,경증,공단
11700,2022-04-25,45,경기 고양시,"기타 판매 단순 종사원(전단지배포, 벽보원, 물품 보관원)",(시급)9160,정신장애,경증,공단
11701,2022-04-25,25,부산 금정구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11702,2022-04-25,29,서울 노원구,일러스트레이터·삽화가,(시급)9160,뇌전증장애,경증,공단
11703,2022-04-25,51,경기 성남시,안마사,(월급)2000000,시각장애,중증,공단
11704,2022-04-25,22,경남 진주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1000000,지적장애,중증,공단
11705,2022-04-25,43,충남 예산군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11706,2022-04-25,23,서울 강동구,매장 정리원(매장 보조원),(시급)9160,자폐성장애,중증,공단
11707,2022-04-25,33,경기 화성시(화성),건축 제도사(캐드원),(시급)9160,청각장애,경증,공단
11708,2022-04-25,64,경북 안동시,세탁원(다림질원),(시급)9160,지체장애,경증,공단
11709,2022-04-25,54,광주 북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
11710,2022-04-25,63,부산 금정구,LED 부품·제품 조립·검사원,(시급)9160,시각장애,경증,공단
11711,2022-04-25,42,광주 광산구,기타 화학제품 생산기계 조작원,(시급)9160,청각장애,경증,공단
11712,2022-04-25,65,울산 중구,"굴착기(굴삭기,포클레인) 운전원",(월급)2000000,청각장애,경증,공단
11713,2022-04-25,47,서울 동작구,전자 부품·제품 생산기계 조작원,(시급)9160,청각장애,중증,공단
11714,2022-04-25,46,광주 광산구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11715,2022-04-25,62,광주 남구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,중증,공단
11716,2022-04-25,55,광주 광산구,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",(시급)9120,지체장애,중증,공단
11717,2022-04-25,47,충북 청주시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
11718,2022-04-25,52,전북 군산시,사무 보조원(일반사업체),(시급)9160,지체장애,중증,공단
11719,2022-04-25,47,경북 구미시,사무 보조원(일반사업체),(시급)9160,지체장애,경증,공단
11720,2022-04-26,58,경남 양산시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,언어장애,경증,공단
11721,2022-04-26,62,부산 북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,청각장애,중증,공단
11722,2022-04-26,49,충남 아산시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,시각장애,중증,공단
11723,2022-04-26,70,부산 연제구,건설·채굴 단순 종사원,(시급)9160,지체장애,경증,공단
11724,2022-04-26,61,대전 서구,사무 보조원(일반사업체),(시급)9160,지체장애,경증,공단
11725,2022-04-26,52,경기 안산시,식품 분야 단순 종사원,(월급)1000000,청각장애,중증,공단
11726,2022-04-26,38,경기 성남시 분당구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
11727,2022-04-26,66,강원 춘천시,재가 요양보호사,(시급)8720,지체장애,경증,공단
11728,2022-04-26,39,경기 용인시,사무 보조원(일반사업체),(월급)1914440,지체장애,경증,공단
11729,2022-04-26,50,경기 시흥시,기계·금속 분야 단순 종사원,(월급)2000000,언어장애,경증,공단
11730,2022-04-26,57,강원 홍천군,총무 및 일반 사무원,(월급)2500000,지체장애,경증,공단
11731,2022-04-26,36,경북 문경시,LED 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
11732,2022-04-26,37,경기 하남시,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
11733,2022-04-26,66,제주 제주시,섬유·의복 분야 단순 종사원,(시급)9160,지체장애,경증,공단
11734,2022-04-26,40,강원 원주시,모니터 요원,(시급)9160,지적장애,중증,공단
11735,2022-04-26,49,서울 강서구,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,정신장애,중증,공단
11736,2022-04-26,64,전체,플랜트공학 기술자 및 연구원,(연봉)50000000,지체장애,경증,공단
11737,2022-04-26,40,부산 서구,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
11738,2022-04-26,63,충북 청주시,직업 운동선수,(시급)9160,지체장애,중증,공단
11739,2022-04-26,34,부산 북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11740,2022-04-26,31,서울 송파구,사무 보조원(공공기관),(시급)9160,정신장애,중증,공단
11741,2022-04-26,44,경기 성남시,"기타 건물 관리원(공원, 종교시설 등)",(시급)9160,지체장애,경증,공단
11742,2022-04-26,27,경남 양산시,사무 보조원(공공기관),(월급)1000000,지적장애,중증,공단
11743,2022-04-26,33,서울 성동구,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
11744,2022-04-26,29,인천 남동구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지적장애,중증,공단
11745,2022-04-26,29,인천 남동구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
11746,2022-04-26,26,서울 구로구,사무 보조원(일반사업체),(월급)1500000,지적장애,중증,공단
11747,2022-04-26,25,대전 서구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
11748,2022-04-26,25,경남 진주시,섬유·의복 분야 단순 종사원,(월급)1000000,지적장애,중증,공단
11749,2022-04-26,26,대전 유성구,주방 보조원(일반 음식점),(시급)9160,지적장애,중증,공단
11750,2022-04-26,27,서울 마포구,사무 보조원(일반사업체),(월급)2000000,지적장애,중증,공단
11751,2022-04-26,25,강원 춘천시,보안 관제원(경비 관제원),(시급)8720,지적장애,중증,공단
11752,2022-04-26,24,광주 북구,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
11753,2022-04-26,25,서울 구로구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11754,2022-04-26,25,경기 오산시,기타 전자 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
11755,2022-04-26,24,부산 서구,세탁 기계 조작원,(시급)9160,지적장애,중증,공단
11756,2022-04-26,31,경북 구미시,사무 보조원(일반사업체),(시급)9160,신장장애,중증,공단
11757,2022-04-26,41,인천 부평구,총무 및 일반 사무원,(연봉)30000000,지체장애,경증,공단
11758,2022-04-26,51,,,,정신장애,중증,공단
11759,2022-04-26,23,대전 동구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
11760,2022-04-26,71,대구 중구,사무 보조원(공공기관),(월급)1930000,시각장애,경증,공단
11761,2022-04-26,32,충북 음성군,사무 보조원(공공기관),(시급)9160,뇌전증장애,경증,공단
11762,2022-04-26,26,광주 북구,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
11763,2022-04-26,22,세종특별자치시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11764,2022-04-26,22,서울 금천구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
11765,2022-04-26,21,광주 남구,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
11766,2022-04-26,23,부산 부산진구,사무 보조원(일반사업체),(시급)8720,지적장애,중증,공단
11767,2022-04-26,23,서울 강남구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
11768,2022-04-26,22,경기 성남시,환경 미화원,(시급)9160,지적장애,중증,공단
11769,2022-04-26,30,울산 중구,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
11770,2022-04-26,23,강원 원주시,사무 보조원(공공기관),(시급)8720,지적장애,중증,공단
11771,2022-04-26,43,강원 춘천시,한식 조리사(일반 음식점),(월급)1000000,정신장애,중증,공단
11772,2022-04-26,21,경북 문경시,LED 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
11773,2022-04-26,20,강원 원주시,건설·채굴 단순 종사원,(월급)1800000,지적장애,중증,공단
11774,2022-04-26,20,충북 청주시,세탁원(다림질원),(시급)9160,자폐성장애,중증,공단
11775,2022-04-26,20,충북 증평군,세탁원(다림질원),(시급)9160,자폐성장애,중증,공단
11776,2022-04-26,59,서울 은평구,"IT 기술영업원(전산장비,소프트웨어) ",(월급)2000000,지체장애,경증,공단
11777,2022-04-26,63,경북 포항시,주차 관리·안내원,(시급)9160,뇌병변장애,경증,공단
11778,2022-04-26,23,강원 원주시,모니터 요원,(시급)9160,뇌병변장애,중증,공단
11779,2022-04-26,23,강원 원주시,모니터 요원,(시급)9160,뇌병변장애,중증,공단
11780,2022-04-26,59,부산 동래구,지게차 운전원,(시급)9160,지체장애,경증,공단
11781,2022-04-26,29,대구광역시,사무 보조원(공공기관),(월급)2000000,지체장애,중증,공단
11782,2022-04-26,22,전북 전주시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)8720,지적장애,중증,공단
11783,2022-04-26,22,광주 서구,전기·전자 분야 단순 종사원,(시급)9160,자폐성장애,중증,공단
11784,2022-04-26,21,서울 강북구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
11785,2022-04-26,27,경남 진주시,섬유·의복 분야 단순 종사원,(월급)1000000,지적장애,중증,공단
11786,2022-04-26,31,광주 북구,사무 보조원(일반사업체),(시급)9160,정신장애,중증,공단
11787,2022-04-26,63,경기 고양시,환경 미화원,(시급)9160,뇌병변장애,경증,공단
11788,2022-04-26,20,인천 계양구,기타 기계 조립·검사원,(시급)9120,지적장애,중증,공단
11789,2022-04-26,26,경기 성남시,식품 분야 단순 종사원,(시급)9160,지적장애,중증,공단
